ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1946904930,2025-11-17 06:09:54+00:00,1763359794666,1763359794,1763359794753,0,0,0,1,4,123456,1946904930,0,3,0.01,0.0,0.0,0.0,0.0,1.15962,0.0,EURUSDm,Test trade from ,
1946909363,2025-11-17 06:10:59+00:00,1763359859779,1763359859,1763359859859,0,1,0,1,4,0,1946904930,0,0,0.01,0.0,0.0,0.0,0.0,1.15962,0.0,EURUSDm,,
1947497356,2025-11-17 08:13:57+00:00,1763367237972,1763367238,1763367238044,0,0,0,0,4,0,1947497356,0,0,0.01,0.0,0.0,0.0,0.0,1.16111,0.0,EURUSDm,,
1947497445,2025-11-17 08:13:59+00:00,1763367239647,1763367239,1763367239722,0,1,0,1,4,0,1947497356,0,0,0.01,0.0,0.0,0.0,0.0,1.1610800000000001,0.0,EURUSDm,,
1948171719,2025-11-17 10:03:00+00:00,1763373780996,1763373781,1763373781069,0,1,0,1,4,123456,1948171719,0,3,0.02,0.0,0.0,1.16014,1.15615,1.16003,0.0,EURUSDm,bot-test,
1948172281,2025-11-17 10:03:06+00:00,1763373786193,1763373786,1763373786274,0,0,0,1,4,0,1948171719,0,0,0.02,0.0,0.0,0.0,0.0,1.16013,0.0,EURUSDm,,
1956153167,2025-11-18 12:34:48+00:00,1763469288851,1763469288,1763469288939,0,0,0,0,4,0,1956153167,0,0,0.01,0.0,0.0,0.0,0.0,1.15899,0.0,EURUSDm,,
1956159185,2025-11-18 12:35:38+00:00,1763469338680,1763469338,1763469338765,0,1,0,1,4,0,1956153167,0,0,0.01,0.0,0.0,0.0,0.0,1.15891,0.0,EURUSDm,,
1963036280,2025-11-19 13:26:31+00:00,1763558791290,1763558791,1763558791373,0,0,0,1,4,123456,1963036280,0,3,0.02,0.0,0.0,1.15762,1.15974,1.15866,0.0,EURUSDm,test_trade,
1963057374,2025-11-19 13:30:02+00:00,1763559002688,1763559002,1763559002783,0,1,0,1,4,0,1963036280,0,0,0.02,0.0,0.0,0.0,0.0,1.15826,0.0,EURUSDm,,
1963149755,2025-11-19 13:40:02+00:00,1763559602152,1763559602,1763559602238,0,1,0,1,4,123456,1963149755,0,3,0.04,0.0,0.0,1.1588,1.15668,1.1577600000000001,0.0,EURUSDm,bot,
1963185618,2025-11-19 13:45:02+00:00,1763559902408,1763559902,1763559902496,0,1,0,1,4,123456,1963185618,0,3,0.04,0.0,0.0,1.15846,1.15634,1.1574200000000001,0.0,EURUSDm,bot,
1965005847,2025-11-19 17:25:04+00:00,1763573104019,1763573104,1763573104115,0,1,0,1,4,123456,1965005847,0,3,0.04,0.0,0.0,1.15411,1.15199,1.15307,0.0,EURUSDm,bot,
1965035127,2025-11-19 17:30:04+00:00,1763573404282,1763573404,1763573404366,0,1,0,1,4,123456,1965035127,0,3,0.04,0.0,0.0,1.15391,1.15179,1.15287,0.0,EURUSDm,bot,
1965614334,2025-11-19 19:10:02+00:00,1763579402925,1763579403,1763579403012,0,1,0,1,4,123456,1965614334,0,3,0.04,0.0,0.0,1.15341,1.15129,1.15237,0.0,EURUSDm,bot,
1966331257,2025-11-19 21:35:04+00:00,1763588104724,1763588104,1763588104807,0,0,0,1,4,123456,1966331257,0,3,0.04,0.0,0.0,1.15256,1.15468,1.1536,0.0,EURUSDm,bot,
1966410921,2025-11-19 21:58:51+00:00,1763589531899,1763589531,1763589531904,0,0,0,1,4,123456,1965035127,0,4,0.04,0.0,1.15391,0.0,0.0,1.15391,0.0,EURUSDm,[sl 1.15391],
1966460357,2025-11-19 23:00:02+00:00,1763593202971,1763593203,1763593203050,0,0,0,1,4,123456,1966460357,0,3,0.04,0.0,0.0,1.15284,1.15496,1.15388,0.0,EURUSDm,bot,
1966805535,2025-11-20 01:20:02+00:00,1763601602549,1763601602,1763601602630,0,1,0,1,4,123456,1966805535,0,3,0.04,0.0,0.0,1.15388,1.15176,1.15284,0.0,EURUSDm,bot,
1966874334,2025-11-20 01:50:03+00:00,1763603403442,1763603403,1763603403514,0,1,0,1,4,123456,1966874334,0,3,0.04,0.0,0.0,1.15366,1.15154,1.15262,0.0,EURUSDm,bot,
1967102768,2025-11-20 03:20:01+00:00,1763608801828,1763608801,1763608801884,0,1,0,1,4,123456,1967102768,0,3,0.04,0.0,0.0,1.15269,1.15057,1.15165,0.0,EURUSDm,bot,
1967150942,2025-11-20 03:45:02+00:00,1763610302521,1763610302,1763610302604,0,1,0,1,4,123456,1967150942,0,3,0.04,0.0,0.0,1.15219,1.15007,1.15115,0.0,EURUSDm,bot,
1967555698,2025-11-20 06:10:02+00:00,1763619002284,1763619002,1763619002367,0,0,0,1,4,123456,1967555698,0,3,0.04,0.0,0.0,1.1512,1.15332,1.15224,0.0,EURUSDm,bot,
1968210459,2025-11-20 08:15:03+00:00,1763626503601,1763626503,1763626503696,0,1,0,1,4,123456,1968210459,0,3,0.04,0.0,0.0,1.15228,1.15016,1.15124,0.0,EURUSDm,bot,
1968333127,2025-11-20 08:35:04+00:00,1763627704266,1763627704,1763627704354,0,0,0,1,4,123456,1968333127,0,3,0.03,0.0,0.0,1.15116,1.15328,1.15222,0.0,EURUSDm,bot,
1968847435,2025-11-20 09:55:02+00:00,1763632502395,1763632502,1763632502481,0,0,0,1,4,123456,1968847435,0,3,0.03,0.0,0.0,1.15155,1.15367,1.15259,0.0,EURUSDm,bot,
