Date,Open,High,Low,Close,Volume
2025-11-17 05:55:00+00:00,1.15998,1.16003,1.15988,1.16001,88
2025-11-17 06:00:00+00:00,1.16003,1.16003,1.15989,1.15992,76
2025-11-17 06:05:00+00:00,1.15991,1.15991,1.15948,1.15953,157
2025-11-17 06:10:00+00:00,1.15951,1.15976,1.15948,1.15971,88
2025-11-17 06:15:00+00:00,1.1596899999999999,1.15984,1.15962,1.15983,84
2025-11-17 06:20:00+00:00,1.15984,1.1598600000000001,1.15975,1.15984,83
2025-11-17 06:25:00+00:00,1.15985,1.16005,1.15984,1.16003,89
2025-11-17 06:30:00+00:00,1.16003,1.16018,1.15995,1.1601,106
2025-11-17 06:35:00+00:00,1.1601,1.16031,1.16008,1.1602999999999999,75
2025-11-17 06:40:00+00:00,1.1602999999999999,1.16055,1.16026,1.16046,103
2025-11-17 06:45:00+00:00,1.16045,1.16061,1.16037,1.16061,79
2025-11-17 06:50:00+00:00,1.16061,1.16079,1.16054,1.16069,113
2025-11-17 06:55:00+00:00,1.16069,1.16082,1.16069,1.16072,88
2025-11-17 07:00:00+00:00,1.1607,1.16093,1.16068,1.16078,148
2025-11-17 07:05:00+00:00,1.16077,1.16084,1.16067,1.1608100000000001,85
2025-11-17 07:10:00+00:00,1.1608100000000001,1.16089,1.16064,1.16069,87
2025-11-17 07:15:00+00:00,1.16069,1.16103,1.16062,1.16101,105
2025-11-17 07:20:00+00:00,1.16101,1.16115,1.1609,1.16096,167
2025-11-17 07:25:00+00:00,1.16098,1.16126,1.16098,1.16124,165
2025-11-17 07:30:00+00:00,1.16124,1.16135,1.16111,1.16115,125
2025-11-17 07:35:00+00:00,1.16115,1.16122,1.161,1.1611,141
2025-11-17 07:40:00+00:00,1.1611,1.16141,1.16102,1.16133,135
2025-11-17 07:45:00+00:00,1.16132,1.1614,1.16122,1.16125,115
2025-11-17 07:50:00+00:00,1.16125,1.16145,1.1612,1.16128,102
2025-11-17 07:55:00+00:00,1.16128,1.16138,1.16117,1.16129,118
2025-11-17 08:00:00+00:00,1.16131,1.16141,1.1610800000000001,1.16132,209
2025-11-17 08:05:00+00:00,1.16132,1.16148,1.16111,1.1614200000000001,132
2025-11-17 08:10:00+00:00,1.16141,1.16145,1.16099,1.1610800000000001,172
2025-11-17 08:15:00+00:00,1.16107,1.16112,1.16074,1.16075,146
2025-11-17 08:20:00+00:00,1.16077,1.16077,1.1604700000000001,1.16065,167
2025-11-17 08:25:00+00:00,1.16065,1.16065,1.16026,1.16036,191
2025-11-17 08:30:00+00:00,1.16033,1.16061,1.16023,1.16038,198
2025-11-17 08:35:00+00:00,1.16038,1.16051,1.16012,1.16038,179
2025-11-17 08:40:00+00:00,1.16038,1.16052,1.16011,1.16013,165
2025-11-17 08:45:00+00:00,1.16012,1.16023,1.16002,1.16003,166
2025-11-17 08:50:00+00:00,1.16001,1.16049,1.15987,1.16039,232
2025-11-17 08:55:00+00:00,1.16039,1.16068,1.16027,1.16028,213
2025-11-17 09:00:00+00:00,1.16027,1.16031,1.15976,1.15984,210
