ts_utc,strategy,symbol,timeframe,status,action,lot,entry,sl,tp,leverage,balance,free_margin,margin_required,spread,ticket_order,ticket_deal
2025-11-16 19:56:58,keltner_squeeze_breakout,EURUSDm,5m,sent,BUY,0.08,1.16222,1.162209207,1.162608128,None,100.0,100.0,92.98,0.00019999999999997797,0,0
2025-11-16 22:05:04,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 22:10:12,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 22:15:06,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 22:20:18,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 22:25:02,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 22:30:03,keltner_squeeze_breakout,EURUSDm,5m,sent,BUY,0.08,1.16271,1.162699207,1.163098128,None,100.0,100.0,93.02,0.0004799999999998139,0,0
2025-11-16 22:35:05,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.1620300000000001,1.162040793,1.1616418720000001,None,100.0,100.0,92.96,0.0004799999999998139,0,0
2025-11-16 22:40:05,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16197,1.161980793,1.161581872,None,100.0,100.0,92.96,0.00048000000000003595,0,0
2025-11-16 22:45:01,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16195,1.161960793,1.161561872,None,100.0,100.0,92.96,0.00048000000000003595,0,0
2025-11-16 22:50:17,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 22:55:01,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 23:00:01,keltner_squeeze_breakout,EURUSDm,5m,sent,BUY,0.08,1.16229,1.162279207,1.162678128,None,100.0,100.0,92.98,8.000000000008001e-05,0,0
2025-11-16 23:05:01,keltner_squeeze_breakout,EURUSDm,5m,sent,BUY,0.08,1.16238,1.162369207,1.162768128,None,100.0,100.0,92.99,7.999999999985796e-05,0,0
2025-11-16 23:10:14,keltner_squeeze_breakout,EURUSDm,5m,sent,BUY,0.08,1.16242,1.162409207,1.162808128,None,100.0,100.0,92.99,8.000000000008001e-05,0,0
2025-11-16 23:15:02,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 23:20:02,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16199,1.162000793,1.161601872,None,100.0,100.0,92.96,7.999999999985796e-05,0,0
2025-11-16 23:25:04,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 23:30:02,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 23:35:06,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-16 23:40:10,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16192,1.161930793,1.161531872,None,100.0,100.0,92.95,7.999999999985796e-05,0,0
2025-11-16 23:45:02,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16185,1.161860793,1.161461872,None,100.0,100.0,92.95,7.999999999985796e-05,0,0
2025-11-16 23:50:09,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.1617899999999999,1.1618007929999998,1.161401872,None,100.0,100.0,92.94,8.000000000008001e-05,0,0
2025-11-16 23:55:05,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16122,1.1612307929999999,1.160831872,None,100.0,100.0,92.9,8.000000000008001e-05,0,0
2025-11-17 00:00:03,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 00:05:01,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16104,1.161050793,1.160651872,None,100.0,100.0,92.88,7.999999999985796e-05,0,0
2025-11-17 00:10:03,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 00:15:01,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16063,1.160640793,1.160241872,None,100.0,100.0,92.85,7.999999999985796e-05,0,0
2025-11-17 00:20:05,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16056,1.160570793,1.160171872,None,100.0,100.0,92.84,7.999999999985796e-05,0,0
2025-11-17 00:25:01,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 00:30:02,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 00:35:02,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 00:40:08,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 00:45:02,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 00:50:02,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16073,1.160740793,1.160341872,None,100.0,100.0,92.86,8.000000000008001e-05,0,0
2025-11-17 00:55:02,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16067,1.160680793,1.160281872,None,100.0,100.0,92.85,7.999999999985796e-05,0,0
2025-11-17 01:00:02,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16054,1.1605507929999999,1.160151872,None,100.0,100.0,92.84,8.000000000008001e-05,0,0
2025-11-17 01:05:02,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 01:10:11,keltner_squeeze_breakout,EURUSDm,5m,sent,BUY,0.08,1.16102,1.161009207,1.161408128,None,100.0,100.0,92.88,7.999999999985796e-05,0,0
2025-11-17 01:15:03,keltner_squeeze_breakout,EURUSDm,5m,sent,BUY,0.08,1.16097,1.160959207,1.161358128,None,100.0,100.0,92.88,8.000000000008001e-05,0,0
2025-11-17 01:20:03,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 01:25:01,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 01:30:03,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 01:35:03,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 01:40:03,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 01:45:17,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 01:50:06,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16076,1.160770793,1.160371872,None,100.0,100.0,92.86,8.000000000008001e-05,0,0
2025-11-17 01:55:04,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-17 02:00:04,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16059,1.160600793,1.160201872,None,100.0,100.0,92.85,8.000000000008001e-05,0,0
2025-11-17 02:05:04,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16043,1.160440793,1.160041872,None,100.0,100.0,92.83,7.999999999985796e-05,0,0
2025-11-17 02:10:02,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16041,1.160420793,1.160021872,None,100.0,100.0,92.83,8.000000000008001e-05,0,0
2025-11-17 02:15:04,keltner_squeeze_breakout,EURUSDm,5m,sent,SELL,0.08,1.16037,1.1603807929999999,1.159981872,None,100.0,100.0,92.83,8.000000000008001e-05,0,0
2025-11-17 02:20:02,keltner_squeeze_breakout,EURUSDm,5m,no_signal,None,None,None,None,None,None,None,None,None,None,None,None
